iter	Passed	Remaining
0	11	11833
1	23	11489
2	35	11632
3	47	11945
4	62	12501
5	76	12680
6	88	12566
7	101	12570
8	113	12477
9	123	12196
10	135	12174
11	146	12100
12	159	12082
13	172	12135
14	183	12033
15	196	12064
16	207	12000
17	218	11946
18	230	11908
19	242	11880
20	253	11839
21	266	11837
22	277	11781
23	287	11704
24	300	11708
25	312	11689
26	322	11618
27	333	11593
28	345	11578
29	359	11628
30	371	11627
31	383	11598
32	396	11612
33	411	11703
34	422	11656
35	439	11779
36	452	11787
37	465	11786
38	477	11760
39	489	11744
40	499	11692
41	512	11680
42	524	11668
43	534	11622
44	546	11587
45	558	11592
46	569	11550
47	581	11533
48	593	11509
49	605	11496
50	615	11461
51	626	11425
52	635	11363
53	645	11314
54	658	11306
55	670	11305
56	679	11248
57	691	11224
58	702	11202
59	713	11178
60	725	11165
61	738	11177
62	752	11187
63	763	11170
64	777	11177
65	791	11195
66	802	11175
67	813	11156
68	827	11159
69	839	11152
70	851	11137
71	863	11129
72	875	11122
73	887	11110
74	898	11084
75	909	11063
76	921	11046
77	931	11008
78	942	10986
79	953	10963
80	963	10932
81	975	10924
82	988	10916
83	1001	10919
84	1013	10906
85	1023	10880
86	1035	10868
87	1046	10849
88	1058	10836
89	1071	10829
90	1081	10807
91	1092	10782
92	1105	10780
93	1117	10775
94	1132	10787
95	1144	10773
96	1155	10760
97	1169	10765
98	1181	10748
99	1191	10723
100	1206	10741
101	1219	10734
102	1231	10724
103	1244	10718
104	1257	10716
105	1269	10703
106	1281	10696
107	1292	10676
108	1304	10663
109	1316	10652
110	1329	10647
111	1341	10636
112	1352	10619
113	1364	10603
114	1376	10591
115	1388	10580
116	1400	10570
117	1412	10555
118	1422	10529
119	1434	10517
120	1449	10531
121	1464	10538
122	1503	10716
123	1517	10721
124	1531	10722
125	1545	10720
126	1559	10717
127	1569	10692
128	1580	10668
129	1592	10660
130	1606	10660
131	1620	10655
132	1632	10641
133	1645	10636
134	1669	10699
135	1681	10682
136	1693	10665
137	1703	10642
138	1714	10619
139	1726	10604
140	1737	10585
141	1749	10572
142	1761	10558
143	1772	10538
144	1784	10522
145	1796	10511
146	1808	10493
147	1820	10482
148	1834	10475
149	1845	10458
150	1858	10447
151	1870	10433
152	1881	10415
153	1893	10402
154	1904	10382
155	1917	10371
156	1928	10357
157	1939	10337
158	1952	10328
159	1964	10313
160	1976	10299
161	1988	10283
162	1998	10264
163	2011	10255
164	2023	10240
165	2035	10228
166	2050	10225
167	2062	10215
168	2074	10198
169	2086	10189
170	2099	10179
171	2112	10169
172	2124	10155
173	2136	10142
174	2148	10126
175	2160	10116
176	2172	10101
177	2183	10083
178	2199	10086
179	2211	10073
180	2222	10055
181	2234	10040
182	2246	10028
183	2256	10006
184	2268	9993
185	2282	9987
186	2293	9971
187	2306	9964
188	2318	9946
189	2330	9933
190	2344	9931
191	2355	9913
192	2367	9900
193	2379	9886
194	2391	9874
195	2404	9862
196	2417	9852
197	2431	9850
198	2443	9834
199	2455	9820
200	2468	9812
201	2479	9795
202	2490	9777
203	2508	9786
204	2519	9770
205	2532	9762
206	2555	9791
207	2567	9775
208	2580	9766
209	2594	9761
210	2605	9742
