iter	Logloss
0	0.593474327
1	0.5144445176
2	0.4413464509
3	0.3723206341
4	0.3212365838
5	0.2704966152
6	0.2290134787
7	0.2002696927
8	0.1678577899
9	0.1415695145
10	0.118747918
11	0.1000542564
12	0.08437066511
13	0.07238794118
14	0.06193015779
15	0.0530899211
16	0.04588435593
17	0.04014410695
18	0.03506367421
19	0.03068547883
20	0.0270456049
21	0.02393598374
22	0.02129540043
23	0.0192014107
24	0.0172525692
25	0.01559890907
26	0.01426283253
27	0.01300875988
28	0.01200464916
29	0.0110474309
30	0.01021434172
31	0.009486110464
32	0.008874943144
33	0.008310930012
34	0.007815719341
35	0.007379671104
36	0.007009223541
37	0.00666050846
38	0.006380374783
39	0.006114264513
40	0.005875991719
41	0.005649218312
42	0.005467642255
43	0.005282688825
44	0.005117384674
45	0.004976076849
46	0.004840373538
47	0.004724776038
48	0.004613399846
49	0.004516474004
50	0.004429873176
51	0.004351064024
52	0.004281362109
53	0.004211814631
54	0.004152424867
55	0.004092998123
56	0.004042238839
57	0.003990064007
58	0.003942761568
59	0.003900008914
60	0.003862979235
61	0.0038245196
62	0.003792792713
63	0.003763246298
64	0.003731175658
65	0.003701219452
66	0.003673675679
67	0.003648875731
68	0.003626612908
69	0.003602883336
70	0.003581378352
71	0.003561312443
72	0.003543411551
73	0.003524824822
74	0.003508284958
75	0.003490402573
76	0.003473701717
77	0.003459309709
78	0.003445626586
79	0.003431121575
80	0.003419977304
81	0.003407445983
82	0.003395047665
83	0.003381867492
84	0.003370265979
85	0.003358108707
86	0.003346799736
87	0.003336251015
88	0.00332623711
89	0.003316895406
90	0.003310453833
91	0.00330122892
92	0.003291619924
93	0.003282801792
94	0.003271069308
95	0.003262743444
96	0.00325828073
97	0.003250628907
98	0.003242300196
99	0.003234571751
100	0.003227528951
101	0.003220759385
102	0.003213154892
103	0.003206076306
104	0.003199729978
105	0.003193257229
106	0.00318713673
107	0.003181496295
108	0.003175464995
109	0.003159676397
110	0.003154881377
111	0.003149510347
112	0.003144690393
113	0.003130724649
114	0.003116376822
115	0.003103835107
116	0.00309673417
117	0.003086187882
118	0.003082773758
119	0.003076409037
120	0.003074738223
121	0.003065297835
