iter	Passed	Remaining
0	12	12553
1	23	11768
2	38	12649
3	50	12630
4	63	12557
5	74	12342
6	85	12191
7	99	12319
8	110	12215
9	122	12115
10	133	12008
11	144	11884
12	156	11897
13	167	11828
14	179	11808
15	191	11783
16	202	11694
17	213	11659
18	226	11680
19	235	11555
20	249	11620
21	259	11537
22	270	11470
23	283	11517
24	295	11518
25	307	11514
26	333	12034
27	345	11987
28	355	11918
29	367	11884
30	378	11843
31	389	11797
32	402	11785
33	413	11734
34	423	11671
35	432	11580
36	443	11533
37	453	11488
38	463	11430
39	474	11399
40	486	11373
41	496	11323
42	507	11292
43	518	11255
44	527	11202
45	539	11196
46	549	11149
47	560	11118
48	572	11105
49	584	11113
50	595	11084
51	605	11045
52	616	11013
53	629	11020
54	640	11001
55	652	10997
56	664	10989
57	675	10962
58	685	10930
59	696	10914
60	707	10888
61	717	10858
62	729	10847
63	740	10831
64	750	10797
65	762	10790
66	774	10790
67	786	10780
68	797	10757
69	807	10732
70	819	10716
71	830	10710
72	841	10682
73	852	10672
74	863	10653
75	873	10620
76	885	10617
77	896	10593
78	906	10570
79	918	10567
80	930	10559
81	942	10555
82	955	10552
83	966	10535
84	976	10509
85	987	10500
86	999	10486
87	1009	10467
88	1021	10457
89	1034	10462
90	1046	10456
91	1057	10440
92	1070	10442
93	1080	10412
94	1092	10406
95	1102	10382
96	1115	10380
97	1125	10357
98	1135	10330
99	1146	10316
100	1159	10322
101	1170	10301
102	1184	10311
103	1195	10301
104	1205	10276
105	1218	10279
106	1229	10262
107	1241	10252
108	1252	10238
109	1264	10228
110	1275	10217
111	1287	10210
112	1299	10198
113	1310	10184
114	1322	10178
115	1335	10176
116	1346	10162
117	1374	10273
118	1386	10261
119	1398	10258
120	1412	10262
121	1425	10256
122	1437	10251
123	1448	10235
124	1461	10230
125	1473	10220
126	1483	10195
127	1491	10163
128	1502	10147
129	1516	10147
130	1527	10135
131	1540	10130
132	1554	10131
133	1564	10113
134	1576	10099
135	1587	10088
136	1598	10071
137	1611	10064
138	1623	10056
139	1634	10041
140	1647	10034
141	1658	10021
142	1672	10020
143	1682	10002
144	1695	9997
145	1707	9989
146	1719	9978
147	1730	9963
148	1741	9948
149	1752	9928
150	1764	9920
151	1775	9907
152	1786	9889
153	1798	9878
154	1809	9864
155	1819	9844
156	1832	9838
157	1845	9833
158	1859	9832
159	1870	9819
160	1882	9808
161	1893	9796
162	1906	9788
163	1917	9774
164	1928	9760
165	1939	9743
166	1950	9730
167	1962	9721
168	1973	9704
