iter	Passed	Remaining
0	13	13675
1	25	12603
2	37	12449
3	49	12362
4	61	12311
5	74	12400
6	86	12322
7	97	12088
8	106	11729
9	118	11701
10	128	11580
11	139	11516
12	151	11477
13	162	11470
14	173	11381
15	186	11477
16	198	11500
17	211	11542
18	223	11514
19	235	11537
20	246	11507
21	257	11455
22	268	11402
23	280	11424
24	292	11423
25	304	11403
26	315	11355
27	326	11333
28	338	11327
29	349	11291
30	360	11263
31	372	11260
32	384	11263
33	395	11243
34	407	11238
35	419	11238
36	430	11204
37	441	11165
38	451	11130
39	462	11108
40	473	11067
41	484	11040
42	496	11059
43	508	11054
44	519	11030
45	533	11055
46	543	11027
47	554	10999
48	567	11017
49	578	10992
50	589	10974
51	602	10983
52	614	10972
53	625	10961
54	636	10939
55	645	10880
56	654	10833
57	664	10792
58	676	10789
59	687	10772
60	699	10760
61	710	10745
62	722	10751
63	734	10737
64	745	10718
65	754	10678
66	765	10657
67	776	10639
68	787	10631
69	798	10614
70	810	10599
71	820	10575
72	832	10567
73	845	10581
74	860	10615
75	872	10610
76	883	10590
77	900	10646
78	913	10649
79	926	10657
80	937	10632
81	948	10615
82	960	10614
83	971	10598
84	984	10601
85	995	10577
86	1006	10557
87	1017	10548
88	1028	10531
89	1040	10517
90	1051	10498
91	1061	10479
92	1073	10472
93	1083	10447
94	1095	10432
95	1108	10435
96	1119	10421
97	1130	10409
98	1143	10404
99	1154	10390
100	1165	10374
101	1176	10354
102	1189	10358
103	1200	10346
104	1212	10337
105	1224	10328
106	1236	10318
107	1248	10314
108	1262	10320
109	1273	10306
110	1286	10305
111	1299	10302
112	1313	10312
113	1324	10294
114	1336	10288
115	1348	10272
116	1360	10269
117	1372	10259
118	1385	10256
119	1396	10240
120	1408	10234
121	1423	10243
122	1437	10246
123	1448	10231
124	1461	10230
125	1474	10230
126	1487	10221
127	1495	10190
128	1507	10181
129	1520	10173
130	1530	10149
131	1544	10158
132	1556	10145
133	1568	10134
134	1579	10122
135	1590	10105
136	1602	10091
137	1614	10084
138	1626	10075
139	1638	10062
140	1649	10048
141	1661	10041
142	1672	10025
143	1684	10012
144	1696	10005
145	1707	9989
146	1716	9961
147	1726	9937
148	1738	9930
149	1748	9910
150	1759	9893
151	1772	9886
152	1783	9874
153	1794	9860
154	1806	9849
155	1817	9831
156	1828	9820
157	1841	9812
158	1855	9815
159	1870	9817
160	1880	9801
161	1892	9789
162	1904	9780
163	1917	9774
164	1931	9772
165	1942	9758
166	1953	9745
167	1965	9732
168	1975	9714
169	1988	9710
170	2000	9698
171	2010	9679
172	2022	9670
173	2035	9660
174	2045	9644
175	2056	9630
176	2068	9617
177	2079	9601
178	2091	9591
179	2102	9579
180	2115	9571
181	2128	9566
182	2138	9548
183	2151	9539
184	2163	9530
185	2174	9515
186	2185	9503
187	2198	9495
188	2210	9487
189	2222	9476
190	2233	9458
191	2243	9441
192	2255	9431
193	2267	9419
194	2279	9411
195	2292	9404
196	2304	9392
197	2317	9385
198	2329	9376
199	2342	9370
200	2356	9366
201	2368	9355
202	2380	9345
203	2392	9337
204	2407	9335
205	2422	9335
206	2436	9333
207	2448	9324
208	2461	9314
209	2474	9308
210	2486	9296
211	2499	9291
212	2515	9295
213	2529	9288
214	2542	9283
215	2556	9277
216	2570	9274
217	2581	9261
218	2595	9254
219	2608	9246
220	2620	9236
221	2635	9236
222	2648	9229
223	2676	9273
